iter	Passed	Remaining
1387	47978	3871
1388	48013	3836
1389	48042	3801
1390	48072	3767
1391	48105	3732
1392	48135	3697
1393	48165	3662
1394	48195	3627
1395	48227	3592
1396	48259	3558
1397	48296	3523
1398	48330	3489
1399	48361	3454
1400	48392	3419
1401	48424	3384
1402	48455	3350
1403	48482	3315
1404	48506	3279
1405	48534	3244
1406	48562	3209
1407	48597	3175
1408	48632	3140
1409	48664	3106
1410	48696	3071
1411	48728	3036
1412	48756	3002
1413	48787	2967
1414	48815	2932
1415	48842	2897
1416	48871	2862
1417	48896	2827
1418	48925	2792
1419	48955	2758
1420	48984	2723
1421	49020	2688
1422	49046	2653
1423	49078	2619
1424	49109	2584
1425	49135	2549
1426	49162	2514
1427	49190	2480
1428	49220	2445
1429	49252	2410
1430	49280	2376
1431	49310	2341
1432	49342	2306
1433	49366	2272
1434	49395	2237
1435	49422	2202
1436	49455	2168
1437	49495	2134
1438	49532	2099
1439	49563	2065
1440	49592	2030
1441	49623	1995
1442	49659	1961
1443	49694	1927
1444	49786	1894
1445	49839	1861
1446	49868	1826
1447	49895	1791
1448	49925	1757
1449	49953	1722
1450	49978	1687
1451	50022	1653
1452	50050	1618
1453	50076	1584
1454	50107	1549
1455	50134	1515
1456	50159	1480
1457	50188	1445
1458	50217	1411
1459	50250	1376
1460	50277	1342
1461	50307	1307
1462	50337	1273
1463	50366	1238
1464	50392	1203
1465	50419	1169
1466	50450	1134
1467	50481	1100
1468	50512	1065
1469	50540	1031
1470	50573	997
1471	50603	962
1472	50629	928
1473	50654	893
1474	50684	859
1475	50714	824
1476	50741	790
1477	50775	755
1478	50803	721
1479	50832	686
1480	50864	652
1481	50892	618
1482	50926	583
1483	50956	549
1484	50989	515
1485	51025	480
1486	51058	446
1487	51083	411
1488	51113	377
1489	51146	343
1490	51180	308
1491	51212	274
1492	51244	240
1493	51273	205
1494	51302	171
1495	51336	137
1496	51365	102
1497	51397	68
1498	51429	34
1499	51465	0
